"SampleID","SampleID.1","Message"
"mmu-miR-1264-3p	9.687629443	11.88377436	11.77844788	11.1947542	11.3119062	11.12225317	9.138035111	8.830677745	8.681971321	9.497814662	8.823775145	8.394147769","mmu-miR-1264-3p	9.687629443	11.88377436	11.77844788	11.1947542	11.3119062	11.12225317	9.138035111	8.830677745	8.681971321	9.497814662	8.823775145	8.394147769","No results found"
"mmu-miR-1298-5p	10.49057062	12.21735568	11.94282497	11.48910422	11.33155383	11.17357851	9.589777428	9.583212076	9.120730589	10.51870854	9.36286347	8.877955773","mmu-miR-1298-5p	10.49057062	12.21735568	11.94282497	11.48910422	11.33155383	11.17357851	9.589777428	9.583212076	9.120730589	10.51870854	9.36286347	8.877955773","No results found"
"mmu-miR-5099	2.64812137	4.850136683	3.865312032	5.400655731	4.509684796	4.998823513	3.456963053	2.743876807	2.856106214	2.509578008	2.484596758	2.145686759","mmu-miR-5099	2.64812137	4.850136683	3.865312032	5.400655731	4.509684796	4.998823513	3.456963053	2.743876807	2.856106214	2.509578008	2.484596758	2.145686759","No results found"
"mmu-miR-448-3p	7.938013921	9.217712878	8.906006667	8.180802988	8.663388097	8.308246012	6.858872188	6.861355679	6.616045505	7.58744077	6.595774058	6.597386562","mmu-miR-448-3p	7.938013921	9.217712878	8.906006667	8.180802988	8.663388097	8.308246012	6.858872188	6.861355679	6.616045505	7.58744077	6.595774058	6.597386562","No results found"
"mmu-miR-20a-3p	2.199721281	4.975961384	5.387411594	5.502184286	5.291637516	2.756381374	4.325130155	3.349624397	2.507817496	3.02889807	2.252924127	2.947137293","mmu-miR-20a-3p	2.199721281	4.975961384	5.387411594	5.502184286	5.291637516	2.756381374	4.325130155	3.349624397	2.507817496	3.02889807	2.252924127	2.947137293","No results found"
"mmu-miR-365-3p	9.297419189	10.46878322	10.63831997	10.78437395	10.73390713	10.68255444	9.718406208	9.049638291	9.03106818	9.108144674	8.947820317	8.929658368","mmu-miR-365-3p	9.297419189	10.46878322	10.63831997	10.78437395	10.73390713	10.68255444	9.718406208	9.049638291	9.03106818	9.108144674	8.947820317	8.929658368","No results found"
"mmu-miR-664-5p	3.409046308	5.324577025	5.961625382	5.300861657	4.635811302	4.627446163	4.429949326	3.374147573	3.475483302	3.671750449	3.637696959	3.639263305","mmu-miR-664-5p	3.409046308	5.324577025	5.961625382	5.300861657	4.635811302	4.627446163	4.429949326	3.374147573	3.475483302	3.671750449	3.637696959	3.639263305","No results found"
"mmu-miR-126b-5p	3.078180023	5.94995933	6.320069316	6.200777284	5.868380737	6.303065477	4.926114906	4.920814833	4.479271491	5.067813711	3.880692494	3.872995982","mmu-miR-126b-5p	3.078180023	5.94995933	6.320069316	6.200777284	5.868380737	6.303065477	4.926114906	4.920814833	4.479271491	5.067813711	3.880692494	3.872995982","No results found"
"mmu-miR-199a-5p	4.711287459	6.698688135	6.962982193	7.614595623	6.174071975	6.669867915	6.011171299	5.39230724	4.989951889	5.706565045	5.338757746	4.526831085","mmu-miR-199a-5p	4.711287459	6.698688135	6.962982193	7.614595623	6.174071975	6.669867915	6.011171299	5.39230724	4.989951889	5.706565045	5.338757746	4.526831085","No results found"
"mmu-miR-363-3p	2.146148797	4.098796681	4.036526381	4.839975674	4.371466199	3.587134233	3.762422469	2.406160989	2.7928524	3.457024432	1.186235406	1.377866444","mmu-miR-363-3p	2.146148797	4.098796681	4.036526381	4.839975674	4.371466199	3.587134233	3.762422469	2.406160989	2.7928524	3.457024432	1.186235406	1.377866444","No results found"
"mmu-miR-142a-3p	4.11443851	4.672278987	5.612961462	6.235592163	5.529596731	4.616818191	4.681169219	4.269124656	4.115620086	4.736972998	3.978922768	3.307953273","mmu-miR-142a-3p	4.11443851	4.672278987	5.612961462	6.235592163	5.529596731	4.616818191	4.681169219	4.269124656	4.115620086	4.736972998	3.978922768	3.307953273","No results found"
"mmu-miR-1298-3p	7.194091399	7.95675383	7.621330043	7.236605745	6.947849676	7.713858719	6.135942564	6.376216158	6.454269797	7.060336671	6.239350196	6.342075572","mmu-miR-1298-3p	7.194091399	7.95675383	7.621330043	7.236605745	6.947849676	7.713858719	6.135942564	6.376216158	6.454269797	7.060336671	6.239350196	6.342075572","No results found"
"mmu-miR-99a-5p	15.87859665	16.80379178	16.82827525	16.8555876	16.86405545	16.74802024	16.08039088	15.59527208	15.68766176	15.74353149	15.72834216	15.30213772","mmu-miR-99a-5p	15.87859665	16.80379178	16.82827525	16.8555876	16.86405545	16.74802024	16.08039088	15.59527208	15.68766176	15.74353149	15.72834216	15.30213772","No results found"
"mmu-miR-671-5p	4.876662855	5.399994195	5.517041037	6.165101438	5.375394723	5.12418678	3.893890465	4.215848852	4.308873509	4.41816815	4.80812037	4.991766426","mmu-miR-671-5p	4.876662855	5.399994195	5.517041037	6.165101438	5.375394723	5.12418678	3.893890465	4.215848852	4.308873509	4.41816815	4.80812037	4.991766426","No results found"
"mmu-miR-6406	4.460069898	4.813826843	5.597411088	5.995555221	5.593173736	4.923204575	4.895063072	3.535044038	4.407185256	4.10013463	3.978922768	4.699000879","mmu-miR-6406	4.460069898	4.813826843	5.597411088	5.995555221	5.593173736	4.923204575	4.895063072	3.535044038	4.407185256	4.10013463	3.978922768	4.699000879","No results found"
