ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7a-2-3p	0	0	0	0	0	0	4	0	0	0	39	0	4	11	7	19	5	0
mmu-let-7a-5p	78347	89418	58264	47900	143651	97511	198333	71377	69515	63008	67813	105538	145739	214986	249035	201966	188920	116442
mmu-let-7b-3p	154	131	231	270	287	243	261	321	219	136	224	386	283	284	395	402	256	155
mmu-let-7b-5p	16490	20274	21412	21429	25680	18868	33865	23202	19350	21196	23180	22778	26892	34403	40335	35505	34129	24225
mmu-let-7c-1-3p	31	27	148	0	58	22	48	36	34	78	55	50	68	66	67	60	54	28
mmu-let-7c-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7c-5p	88307	110422	62264	47551	161973	117554	233848	80997	75093	74373	79689	123909	172576	240724	289926	240945	229751	155428
mmu-let-7d-3p	2395	2095	2034	2607	2693	2347	2536	2363	2395	2706	2766	2274	1923	2195	2584	2237	2154	1380
mmu-let-7d-5p	49632	59264	45013	43368	92584	74020	139617	55374	51841	54684	55958	77934	104907	141563	156114	132243	137650	77992
mmu-let-7e-3p	584	335	366	504	646	602	901	547	530	829	809	729	663	843	1014	860	746	397
mmu-let-7e-5p	18071	20529	12577	8900	38293	28083	63139	19475	18694	18517	18659	29649	40716	58780	67368	54571	54527	33683
mmu-let-7f-1-3p	87	98	160	0	62	43	66	65	125	25	0	52	54	76	81	78	45	16
mmu-let-7f-2-3p	0	0	0	0	15	0	1	0	8	0	22	4	13	2	5	4	4	1
mmu-let-7f-5p	100938	109065	76892	57529	139681	98612	162757	75966	77269	68334	71294	107655	121384	194164	207693	161434	155214	89306
mmu-let-7g-3p	0	40	0	0	23	9	49	31	11	22	0	9	26	40	27	51	23	11
mmu-let-7g-5p	55414	60568	42403	33980	95889	69812	124199	46494	48682	48191	46380	67366	83789	129799	147223	109641	108105	61958
mmu-let-7i-3p	49	40	52	53	140	38	164	43	202	169	31	127	93	151	183	248	119	92
mmu-let-7i-5p	23604	27369	17514	15075	41966	33986	48879	21948	18129	18162	18164	27200	33529	47189	56239	43256	42882	25070
mmu-let-7j	5	6	2	0	12	8	12	3	2	3	7	7	5	6	12	15	8	4
mmu-let-7k	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	2	1
mmu-miR-100-3p	0	48	22	48	39	15	49	66	14	0	23	40	33	64	36	30	35	25
mmu-miR-100-5p	144221	150754	183369	134483	94796	88860	73764	88311	80483	77706	78253	110780	63467	60524	69118	67161	59430	27402
mmu-miR-101a-3p	77	62	89	158	149	83	191	183	216	264	94	228	272	273	252	319	142	30
mmu-miR-101a-5p	24	10	66	49	55	54	84	45	165	60	77	64	175	112	99	94	65	43
mmu-miR-101b-3p	46	91	172	60	45	71	119	140	145	123	90	93	94	93	123	81	74	43
mmu-miR-101b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-101c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-103-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0
mmu-miR-103-2-5p	10	22	85	23	22	30	31	0	53	0	104	5	30	22	35	7	11	5
mmu-miR-103-3p	33787	36039	29266	28662	60469	50689	98368	35685	33334	35009	33883	49550	59512	83242	96473	70684	70219	36747
mmu-miR-105	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1
mmu-miR-106a-3p	0	0	0	0	2	0	1	0	5	0	0	7	5	0	0	5	0	1
mmu-miR-106a-5p	63	28	22	0	137	23	20	76	1	0	9	57	49	51	49	58	36	33
mmu-miR-106b-3p	89	84	105	102	168	226	396	141	84	116	164	166	194	290	401	245	309	155
mmu-miR-106b-5p	487	429	377	322	763	512	824	600	433	218	420	750	507	941	953	835	570	330
mmu-miR-107-3p	5852	5477	4466	5229	11922	9367	19291	6104	6806	7292	6428	8825	11734	16675	18926	14030	13213	7076
mmu-miR-107-5p	0	0	0	0	19	0	25	0	0	0	0	0	10	13	13	17	5	9
mmu-miR-10a-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	4	0
mmu-miR-10a-5p	557	688	741	577	319	366	312	585	358	301	310	537	419	273	377	336	216	162
mmu-miR-10b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-10b-5p	573	972	1037	674	247	263	117	263	169	113	212	228	132	123	142	143	106	45
mmu-miR-1187	0	0	0	0	7	15	6	27	14	0	0	0	14	9	19	17	14	9
mmu-miR-1188-3p	47	0	0	0	8	1	21	0	0	23	5	2	2	13	7	2	24	7
mmu-miR-1188-5p	41	5	12	68	32	0	37	0	13	17	0	30	17	38	48	34	30	25
mmu-miR-1190	0	0	0	0	0	7	5	0	0	0	0	0	3	10	4	7	1	4
mmu-miR-1191a	39	0	55	0	38	0	25	12	0	0	0	0	25	23	29	9	8	8
mmu-miR-1191b-3p	0	0	0	0	0	8	0	0	0	0	0	0	6	2	0	6	0	3
mmu-miR-1191b-5p	0	12	0	0	3	0	0	0	0	0	0	0	4	7	7	0	1	0
mmu-miR-1192	0	0	0	1	4	0	1	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-1193-3p	94	36	88	84	168	19	83	45	109	83	57	102	78	71	88	75	48	25
mmu-miR-1193-5p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	2	0
mmu-miR-1194	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0
mmu-miR-1195	48	169	102	56	176	166	140	36	115	57	21	142	72	103	142	175	86	73
mmu-miR-1197-3p	0	0	0	0	0	15	1	0	0	0	0	16	3	4	7	8	1	1
mmu-miR-1197-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
mmu-miR-1198-3p	0	5	0	0	0	16	5	9	0	9	0	4	0	5	5	2	1	8
mmu-miR-1198-5p	567	613	518	662	627	736	1293	978	499	585	677	891	821	1117	1427	993	1294	831
mmu-miR-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-1199-5p	0	0	45	0	0	0	1	0	0	0	13	0	0	4	1	4	0	0
mmu-miR-12178-3p	31	0	0	17	15	0	3	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-12178-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	3	9	0	0	3
mmu-miR-12179-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
mmu-miR-12180-3p	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0
mmu-miR-12181-3p	0	0	0	0	3	3	2	0	0	0	0	0	0	5	5	0	0	1
mmu-miR-12181-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-12182-3p	0	0	0	0	8	0	0	0	0	0	0	4	0	0	3	0	0	0
mmu-miR-12182-5p	0	14	0	0	6	0	23	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-12183-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-12184-3p	0	0	0	0	2	0	1	22	0	0	3	0	0	0	4	0	0	2
mmu-miR-12184-5p	17	0	0	0	10	6	11	0	0	0	0	0	5	2	5	7	8	3
