"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"1110001A16Rik"	"Adam30"	"Nhlh1"	""	"2310035C23Rik"	"3110047P20Rik"	"Aak1"	"Aqp8"	"2610528J11Rik"	"1810055G02Rik"	"1810046K07Rik"	"5031410I06Rik"	"Adcy1"	"1110018G07Rik"	"	"	"1110008F13Rik"	"1190002N15Rik"	"2610528J11Rik"	"1500011B03Rik"	"Gm10642"	"Adam10"	""	"9930111J21Rik1"	"2410002F23Rik"	""	"A330008L17Rik"	"Abi3bp"	"1700010B08Rik"	"Adcy1"	"1700029H14Rik"	"2310035C23Rik"	"0610010F05Rik"	""	"2310035C23Rik"	"Adh4"	"0610010F05Rik"	"0610030E20Rik"	""	"1110057K04Rik"	"0610009L18Rik"	"3110047P20Rik"	""	"Col14a1"	"1700025G04Rik"	""	"1700001F09Rik"	"2310022B05Rik"	"0610009B22Rik"	"Abat"	"Adam25"	"0610030E20Rik"	"1700066B19Rik"	"0610030E20Rik"	"2310002J15Rik"	""	"1700037H04Rik"	""	"1200014J11Rik"	"Adam11"	"1200011I18Rik"	"0610009O20Rik"
"2610018G03Rik"	"Atg10"	"Tfap2e"	"1190002N15Rik"	"2410002F23Rik"	"8030462N17Rik"	"Acvrl1"	"Arhgap17"	"4632428N05Rik"	"4932438A13Rik"	"2010106E10Rik"	"A530064D06Rik"	"Ago2"	"1110059G10Rik"	"	"	"1700020L24Rik"	"9330159F19Rik"	"AI837181"	"Abcb7"	"Gm27027"	"Anxa11"	"1110057K04Rik"	"Acaca"	"8430427H17Rik"	"0610009D07Rik"	"Acvr2a"	"Amd2"	"2010106E10Rik"	"Ago2"	"2210404O07Rik"	"2510039O18Rik"	"0610040J01Rik"	"0610040J01Rik"	"2510039O18Rik"	"Aox1"	"0610040J01Rik"	"1110059E24Rik"	"1110057K04Rik"	"1700025G04Rik"	"1810013L24Rik"	"3830406C13Rik"	"0610040J01Rik"	"Cyp2c55"	"2310022A10Rik"	"1110037F02Rik"	"2810055G20Rik"	"9130008F23Rik"	"0610031J06Rik"	"Acsl4"	"Arih2"	"1110018G07Rik"	"1810030O07Rik"	"1110018G07Rik"	"2700094K13Rik"	"0610030E20Rik"	"2700062C07Rik"	"1700037C18Rik"	"1700017B05Rik"	"Ago2"	"1810013L24Rik"	"1200011I18Rik"
"4933411K20Rik"	"Cyp1a2"	"	"	"1600012H06Rik"	"2700089E24Rik"	"9930021J03Rik"	"Adcy1"	"Cxcl10"	"4921509C19Rik"	"A830010M20Rik"	"2210010C04Rik"	"A830073O21Rik"	"Ap1ar"	"1700012A03Rik"	"	"	"1700065D16Rik"	"AI593442"	"Acadm"	"Acer1"	"Hoxa10"	"Arhgef2"	"1700007K13Rik"	"Alg9"	"Aard"	"1110038F14Rik"	"Ankrd13c"	"Cacng2"	"2510009E07Rik"	"Ap1ar"	"2700062C07Rik"	"8430427H17Rik"	"1110018G07Rik"	"2010300C02Rik"	"8030462N17Rik"	"Arr3"	"1110018G07Rik"	"Aifm3"	"1700007K13Rik"	"1700042B14Rik"	"2610002J02Rik"	"4930432K21Rik"	"2010300C02Rik"	"Eea1"	"2410018M08Rik"	"1110065P20Rik"	"4930519G04Rik"	"Acot9"	"1600012H06Rik"	"Adal"	"Astn1"	"1600012H06Rik"	"2610305D13Rik"	"1600012H06Rik"	"6230416C02Rik"	"1110018G07Rik"	"4930539E08Rik"	"2310042D19Rik"	"1700018F24Rik"	"Csf1r"	"2010109I03Rik"	"1700037C18Rik"
"9330182L06Rik"	"E2f4"	"	"	"1700010I14Rik"	"3632451O06Rik"	"9930111J21Rik1"	"Adh1"	"Dbndd2"	"4921517D22Rik"	"A830018L16Rik"	"3110043O21Rik"	"Ahnak2"	"Atpaf1"	"1700017B05Rik"	"	"	"4921536K21Rik"	"Actn1"	"Acp5"	"Actbl2"	"Lag3"	"Atmin"	"1700025G04Rik"	"Ankrd44"	"Abca1"	"1700001L19Rik"	"Aplp2"	"Calm2"	"4933434E20Rik"	"Atpaf1"	"2810006K23Rik"	"AI118078"	"1700007K13Rik"	"2700060E02Rik"	"8430427H17Rik"	"Cdc42ep4"	"2010015L04Rik"	"Arfip2"	"1700025G04Rik"	"2010106E10Rik"	"2610305D13Rik"	"4930519G04Rik"	"2700060E02Rik"	"Fgf5"	"4931406C07Rik"	"1700025F22Rik"	"9130019O22Rik"	"Agtrap"	"1700006A11Rik"	"Adam22"	"Atf7"	"1600014C10Rik"	"2700062C07Rik"	"1600014C10Rik"	"8430427H17Rik"	"1110034G24Rik"	"6330416G13Rik"	"2700081O15Rik"	"1700030J22Rik"	"Enoph1"	"2410127L17Rik"	"1700065D16Rik"
"9530068E07Rik"	"Egf"	"	"	"3830406C13Rik"	"9130227L01Rik"	"AF529169"	"Ak8"	"Herc4"	"4921539E11Rik"	"Aars"	"4930455B14Rik"	"Ano5"	"Baz2a"	"1700052N19Rik"	"	"	"4931406P16Rik"	"Acvr1"	"Actr10"	"Ahsa2"	"Nfix"	"B4galt2"	"1700031F05Rik"	"Bhlha15"	"Abca9"	"1700025G04Rik"	"Atg2b"	"Cd47"	"8030462N17Rik"	"Baz2a"	"2900011O08Rik"	"AI987944"	"1700065I17Rik"	"3110043O21Rik"	"9330182L06Rik"	"Chst15"	"2310014L17Rik"	"Asb15"	"1700031F05Rik"	"2310035C23Rik"	"2700062C07Rik"	"5031410I06Rik"	"3110040N11Rik"	"Golph3"	"9930021J03Rik"	"2210404J11Rik"	"Abca9"	"Alpl"	"1700021K19Rik"	"Adamtsl3"	"Ccdc150"	"1700017B05Rik"	"2810055G20Rik"	"1700017B05Rik"	"Aak1"	"1600012H06Rik"	"8430427H17Rik"	"4933426M11Rik"	"1700037H04Rik"	"Gng7"	"2610002M06Rik"	"1810030O07Rik"
"A230046K03Rik"	"Eif4enif1"	"	"	"4930408O17Rik"	"9930021J03Rik"	"Abcb7"	"Ap1s1"	"Hnrnph3"	"4931406P16Rik"	"Aatk"	"8430427H17Rik"	"Appbp2"	"Bicd1"	"1810013L24Rik"	"	"	"5530401A14Rik"	"Acvr1c"	"Adam24"	"Anapc16"	"Pax2"	"Bag3"	"1700088E04Rik"	"Bmp6"	"Abcg1"	"2410004B18Rik"	"BC027231"	"Dlg5"	"8430427H17Rik"	"Cdk7"	"2900026A02Rik"	"Abca1"	"2010015L04Rik"	"4921524J17Rik"	"9430023L20Rik"	"Ddx27"	"2310047M10Rik"	"CDR1as"	"1700088E04Rik"	"2810403A07Rik"	"3110043O21Rik"	"8030462N17Rik"	"3110043O21Rik"	"Gtl3"	"Acp1"	"2510009E07Rik"	"Abhd3"	"C130026L21Rik"	"1700025G04Rik"	"Ajap1"	"Cep192"	"2010109I03Rik"	"4933411K20Rik"	"1700052N19Rik"	"Abcb8"	"1600014C10Rik"	"Ablim1"	"5430416O09Rik"	"1700066B19Rik"	"Gpr107"	"3110057O12Rik"	"2310057M21Rik"
"AW554918"	"Fabp5"	"	"	"4930455B14Rik"	"Acot12"	"Abi1"	"Arc"	"Hsd11b1"	"Abcc5"	"Abat"	"AW549877"	"Cdkn1b"	"Cdk7"	"1810065E05Rik"	"	"	"5730507C01Rik"	"Adam23"	"Agxt"	"Ankrd6"	"	"	"Cbx6"	"2010003K11Rik"	"Btbd3"	"Abracl"	"3110047P20Rik"	"Camk4"	"Dusp10"	"9530068E07Rik"	"Ctdspl"	"3830406C13Rik"	"Abcb7"	"2310014L17Rik"	"4930529M08Rik"	"AI118078"	"Dsg2"	"2510009E07Rik"	"Ccdc71l"	"2010003K11Rik"	"4931406B18Rik"	"4930402H24Rik"	"9330151L19Rik"	"4921524J17Rik"	"Hist2h4"	"Actr2"	"2810021J22Rik"	"Adam23"	"Calm2"	"2310035C23Rik"	"Alox5ap"	"Chka"	"2310002L09Rik"	"6030498E09Rik"	"2010109I03Rik"	"Abi2"	"1700017B05Rik"	"Acads"	"6430571L13Rik"	"1700123O20Rik"	"H4c17"	"4931406P16Rik"	"2610028H24Rik"
"Abca1"	"Gm8300"	"	"	"4930524B15Rik"	"Acsm5"	"Acap2"	"Bbip1"	"Isg20"	"Abhd17c"	"Abhd13"	"Abl2"	"Cdyl2"	"Ctdspl"	"2310022A10Rik"	"	"	"AI593442"	"Adamts3"	"Ahsa2"	"Arhgap12"	"	"	"Cdc42bpg"	"2310005G13Rik"	"Capn7"	"Acadsb"	"3830406C13Rik"	"Cbln2"	"Eef1a1"	"AI987944"	"Cubn"	"4732456N10Rik"	"Abi2"	"2310047M10Rik"	"4930591A17Rik"	"AI987944"	"Efnb2"	"2610028H24Rik"	"Cdh3"	"2310005G13Rik"	"4931406P16Rik"	"4930555G01Rik"	"AI597468"	"4930529M08Rik"	"Med1"	"Actr6"	"2810055G20Rik"	"Agfg1"	"Capzb"	"2310044G17Rik"	"Ank2"	"Cntfr"	"2310014L17Rik"	"6430571L13Rik"	"2310002L09Rik"	"Acer3"	"1700052N19Rik"	"Acin1"	"9930021J03Rik"	"2210016L21Rik"	"Igf2"	"4931428F04Rik"	"2810408M09Rik"
"Acap2"	"H2-T23"	"	"	"8430427H17Rik"	"Akap11"	"Acot4"	"Bdh1"	"Kcnn4"	"Abi1"	"Acbd3"	"Abracl"	"Ctdsp1"	"Cubn"	"2510009E07Rik"	"	"	"AW554918"	"Adamts9"	"Akr1c18"	"Arrdc3"	"	"	"Cdk2"	"2510009E07Rik"	"Cbl"	"Adhfe1"	"4930519G04Rik"	"Ccdc117"	"Espn"	"Abcg2"	"Cxcl3"	"4932411E22Rik"	"Acsl4"	"2510009E07Rik"	"4931406P16Rik"	"Abca1"	"Eno2"	"2610528J11Rik"	"Chrm1"	"2310014L17Rik"	"4932438A13Rik"	"4931406H21Rik"	"Acad8"	"4930591A17Rik"	"Mex3c"	"Adam29"	"2810407C02Rik"	"Akr1c6"	"Card10"	"2410004B18Rik"	"Apc"	"Cpsf2"	"2310022A10Rik"	"8030462N17Rik"	"2310014L17Rik"	"Actrt3"	"2010109I03Rik"	"Afmid"	"A430105I19Rik"	"2310022B05Rik"	"Lsm10"	"5031410I06Rik"	"4632433K11Rik"
"Acbd5"	"Lap3"	"	"	"9230112D13Rik"	"Ankrd50"	"Acvr1"	"Bmp1"	"Lair1"	"Abp1"	"Acbd4"	"Acbd5"	"Cxcl12"	"Cxcl3"	"2700081O15Rik"	"	"	"Aak1"	"Adcy1"	"Akt1"	"Arsj"	"	"	"Cluh"	"2810006K23Rik"	"Ccdc115"	"Aldoart2"	"4933406J08Rik"	"Ccdc50"	"Exosc4"	"Abhd3"	"Etv3"	"4933427D14Rik"	"Acvr1"	"2610528J11Rik"	"4932438A13Rik"	"Abcb7"	"Ercc3"	"4632428N05Rik"	"Cngb3"	"2510009E07Rik"	"4933427D06Rik"	"5031410I06Rik"	"Acbd3"	"4931406P16Rik"	"Mpdz"	"Adamts6"	"2900011O08Rik"	"Amotl2"	"Cd8b1"	"2510002D24Rik"	"Arf6"	"Efhd2"	"2810021J22Rik"	"AI597468"	"2310022A10Rik"	"Adam22"	"2310002L09Rik"	"Akt1s1"	"A830080D01Rik"	"2610528J11Rik"	"Pard6b"	"5730508B09Rik"	"4922501C03Rik"
