"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"A130010J15Rik"	"4930563E22Rik"	"Adam10"	"Abca6"	"1110002E22Rik"	"2810408A11Rik"	"Abr"	"Nfe2l1"	"Aars2"	"Btg2"	"2010315B03Rik"	"Appbp2"	"Abcc9"	"2510009E07Rik"	"	"	"Aff4"	"Aak1"	""	""	"Bach2"	"0610030E20Rik"	"5730455P16Rik"	""	"0610030E20Rik"	"Adam9"	"Cdc26"	"Abcb7"	"0610030E20Rik"	"0610030E20Rik"	"Agl"	"0610030E20Rik"	"1110032F04Rik"	""	"2510009E07Rik"	"Acat1"	"A130010J15Rik"	"0610010K14Rik"	"9930021J03Rik"	""	"2700097O09Rik"	"2810459M11Rik"	"0610030E20Rik"	"Asah1"	"1110032F04Rik"	""	"4933427D06Rik"	""	"0610030E20Rik"	"Adcy1"	"Il33"	"0610030E20Rik"	"Abcd1"	"0610010K14Rik"	"Aqp7"	"0610010K14Rik"	"Zeb2"	"Afg3l1"	"Ankrd40"	"	"	""	"Ankrd28"
"Actr10"	"Aqp3"	"Aff4"	"Akap7"	"A130010J15Rik"	"4933434E20Rik"	"Alms1"	"	"	"Acadvl"	"Ccnd3"	"2700049A03Rik"	"Cbx6"	"Abhd5"	"2810459M11Rik"	"	"	"B4galt1"	"Apc"	"Arc"	"0610030E20Rik"	"Dicer1"	"Agl"	"AI597479"	"B3glct"	"1600012H06Rik"	"Ankrd17"	"Cdnf"	"Akap11"	"4833439L19Rik"	"Abcc9"	"Arl4a"	"1600012H06Rik"	"1600012H06Rik"	"0610030E20Rik"	"2900026A02Rik"	"Bcl6"	"Adnp"	"1190005I06Rik"	"Aak1"	"0610030E20Rik"	"4921509C19Rik"	"3110040N11Rik"	"0610040J01Rik"	"Atm"	"4930503L19Rik"	"AI182371"	"Aass"	"AU022252"	"1110002E22Rik"	"Mplkip"	"	"	"0610040J01Rik"	"Abi1"	"0610030E20Rik"	"Bpnt1"	"0610030E20Rik"	"	"	"Arpin"	"Atxn1"	"	"	"Chm"	"B4galnt2"
"Afdn"	"Atl2"	"Agmo"	"Ccdc82"	"Aak1"	"A130010J15Rik"	"Ankrd17"	"	"	"Adam19"	"Cd69"	"2810408A11Rik"	"Irgm2"	"Ablim1"	"9530068E07Rik"	"	"	"Canx"	"Atosb"	"Atp11b"	"1110002E22Rik"	"Ecm2"	"Arhgap23"	"Abcd1"	"Cpne3"	"1600014C10Rik"	"Bcl2l11"	"Dgkg"	"Angel2"	"4931406C07Rik"	"Agl"	"Brat1"	"2510009E07Rik"	"1700017B05Rik"	"0610040J01Rik"	"4833420G17Rik"	"Fcgr1"	"Aldh4a1"	"1600014C10Rik"	"Abca3"	"1110004F10Rik"	"5730409E04Rik"	"9530068E07Rik"	"1110004F10Rik"	"Atp7a"	"9930021J03Rik"	"AI837181"	"Akap5"	"Aadat"	"1110004F10Rik"	"Rnaseh2a"	"	"	"1110059E24Rik"	"Acsf2"	"0610040J01Rik"	"C3ar1"	"0610040J01Rik"	"	"	"Bace1"	"Bean1"	"	"	"Cisd2"	"Bach2"
"Ago1"	"Ddx39b"	"Arpc3"	"Cd200r1"	"Aasdhppt"	"AW554918"	"Ap2b1"	"	"	"Adgra1"	"Chm"	"9930021J03Rik"	"Tnfaip1"	"Abraxas2"	"Aak1"	"	"	"Dnajb5"	"Atp2b1"	"Cd69"	"1500011B03Rik"	"Gnl3l"	"Bcam"	"Abcf3"	"Gdf3"	"1700066M21Rik"	"Boc"	"Itgb4"	"Appbp2"	"4933434E20Rik"	"Asxl2"	"Clk4"	"2810459M11Rik"	"1700020L24Rik"	"1110059E24Rik"	"4921524J17Rik"	"Ghdc"	"Aloxe3"	"1600014C23Rik"	"Abcb7"	"1700123O20Rik"	"Acsl3"	"AI182371"	"1110059E24Rik"	"Braf"	"Aaas"	"Aadac"	"Amotl2"	"Abat"	"1110059E24Rik"	"Rnf225"	"	"	"1110059G10Rik"	"Adar"	"1110002E22Rik"	"Ccdc127"	"1500011B03Rik"	"	"	"Cass4"	"Cdk4"	"	"	"Lsm6"	"Cercam"
"Ankrd17"	"Dusp8"	"B3galnt2"	"Cdk12"	"Abhd17b"	"Aatf"	"Ap3d1"	"	"	"Akna"	"Cpeb1"	"Aatf"	"Zfp850"	"Actr1b"	"Aamp"	"	"	"H4c14"	"Atp6v1a"	"Ephx3"	"1700017B05Rik"	"Luc7l2"	"Bmp6"	"Abhd14b"	"H4c14"	"1810030O07Rik"	"Cecr2"	"Plek"	"Arhgap21"	"9530068E07Rik"	"Cap2"	"H2-T24"	"2900026A02Rik"	"1700066M21Rik"	"1700123O20Rik"	"4931406C07Rik"	"Gpi1"	"Ankrd13c"	"1700003F12Rik"	"Abcd1"	"4933427D06Rik"	"Actn1"	"Aadac"	"1110059G10Rik"	"Cebpa"	"Aacs"	"Aass"	"Anp32e"	"Abca1"	"1500011B03Rik"	"Tnfrsf10b"	"	"	"1600012H06Rik"	"Adcy7"	"1110059E24Rik"	"Cst6"	"1600012H06Rik"	"	"	"Cmklr1"	"Cox8a"	"	"	"Nepro"	"Clec7a"
"Ankrd52"	"Emx2"	"Birc6"	"Cysltr1"	"Abhd2"	"Abcb7"	"Appl2"	"	"	"B4galt1"	"Fam136a"	"Abcf2"	"	"	"Actr2"	"Aasdh"	"	"	"Mtf1"	"Bcl2l11"	"Epyc"	"2010315B03Rik"	"Mtcl2"	"Cd33"	"Ablim1"	"Nsd3"	"2010315B03Rik"	"Col24a1"	"Rnf130"	"Arhgap5"	"9930021J03Rik"	"Cdk8"	"Itsn1"	"4931406C07Rik"	"2310022A10Rik"	"1810037I17Rik"	"5730480H06Rik"	"Mlec"	"Ankrd33b"	"1700025G04Rik"	"Abcf1"	"AA467197"	"Aebp2"	"Aadat"	"1500011B03Rik"	"Dcaf12"	"Aak1"	"Abat"	"Cnnm1"	"Abcf2"	"1600012H06Rik"	"	"	"	"	"1600014C10Rik"	"Adnp"	"1110065P20Rik"	"Dhrs7b"	"1600014C10Rik"	"	"	"Hexim1"	"Csnk1g2"	"	"	"Patl1"	"Cybrd1"
"Atf7"	"Fermt2"	"Btbd7"	"Dnm3"	"Acap1"	"Acad8"	"Arhgap35"	"	"	"Bckdha"	"Foxo1"	"Abracl"	"	"	"Adcy6"	"Abca1"	"	"	"Nav2"	"Birc6"	"Esf1"	"2310061I04Rik"	"Nedd4l"	"Chic1"	"Abr"	"Phf20"	"2310057M21Rik"	"Crebrf"	"Tril"	"Arid1b"	"Abcd3"	"Comp"	"Map2k7"	"A1cf"	"2310057J18Rik"	"2510039O18Rik"	"6030458C11Rik"	"Pbx2"	"Ankrd35"	"2210418O10Rik"	"Ablim1"	"Abcb11"	"Afmid"	"Aamp"	"1700010I14Rik"	"Dek"	"Abca1"	"Abcd1"	"Dnajb5"	"Abhd12"	"1600014C10Rik"	"	"	"	"	"1700017B05Rik"	"Agps"	"1500011B03Rik"	"Ednra"	"1700017B05Rik"	"	"	"IDO1"	"Fbrs"	"	"	"Pigt"	"D16Ertd472e"
"Atp2b1"	"Fhip2b"	"Canx"	"Fbxl17"	"Actc1"	"Acap2"	"Ascc3"	"	"	"Ccdc6"	"G6pc1"	"Acap1"	"	"	"Aftph"	"Abcb4"	"	"	"Opa3"	"Bpnt2"	"Frem3"	"2410004B18Rik"	"Poglut3"	"Cry2"	"Adam11"	"Pptc7"	"2310061I04Rik"	"Csgalnact2"	"Trp63"	"Asb15"	"Abhd2"	"Ctnna1"	"Pld5"	"AI837181"	"2610318N02Rik"	"3110040N11Rik"	"9930021J03Rik"	"Polr3k"	"Antxr2"	"2310009B15Rik"	"Acbd3"	"Abhd17b"	"Ahcyl1"	"Aass"	"1700025G04Rik"	"Eea1"	"Abca2"	"Abi1"	"Klk5"	"Abr"	"1700017B05Rik"	"	"	"	"	"1700025G04Rik"	"Aipl1"	"1600012H06Rik"	"Elfn1"	"1700025G04Rik"	"	"	"Lars2"	"Gcm1"	"	"	"Rnf19a"	"Dhx33"
"Car5b"	"Gramd1c"	"Chd4"	"Fndc1"	"Adamts6"	"Acot4"	"Asxl2"	"	"	"Ccn2"	"Gm5148"	"Acbd5"	"	"	"Ahctf1"	"Abhd14b"	"	"	"Pgm2l1"	"Capza2"	"Gemin8"	"2900026A02Rik"	"Thap2"	"Gm10778"	"Adar"	"Rac1"	"2410002F23Rik"	"Ctdspl2"	"Zfp871"	"Atp1a1"	"Abraxas2"	"Dag1"	"Rhod"	"Aacs"	"4930522L14Rik"	"4833420G17Rik"	"9930111J21Rik2"	"Rtl1"	"Aph1c"	"2310033P09Rik"	"Acly"	"Abhd17c"	"Akap9"	"Abat"	"1700066M21Rik"	"Eef1g"	"Abhd2"	"Acaa1b"	"Lbr"	"Acaa1b"	"1700025G04Rik"	"	"	"	"	"1700030J22Rik"	"Ak1"	"1600014C10Rik"	"Eno2"	"1810030O07Rik"	"	"	"Pak6"	"Gm4841"	"	"	"SNHG16"	"Dhx37"
"Ccdc148"	"Hopx"	"Ckb"	"Gjc3"	"Adcy9"	"Acsl1"	"Atp2b1"	"	"	"Ccnb1"	"Hand2"	"Acbd6"	"	"	"Akap13"	"Acadl"	"	"	"Plxna4"	"Cdk14"	"Gjb2"	"4930519G04Rik"	"Zmat3"	"Lats1"	"Adat3"	"Tbc1d9b"	"4833420G17Rik"	"Cxadr"	"	"	"Cct5"	"Acadl"	"Dcaf12"	"Smg1"	"Aak1"	"5730480H06Rik"	"4921524J17Rik"	"A1cf"	"Spc24"	"Api5"	"2310039H08Rik"	"Acox1"	"Abhd4"	"Ankrd46"	"Abca1"	"1700123O20Rik"	"Fau"	"Abi1"	"Acadvl"	"Mmp16"	"Acsm1"	"1700030K09Rik"	"	"	"	"	"1700066M21Rik"	"Akt1"	"1700017B05Rik"	"Fam133b"	"1810037I17Rik"	"	"	"Pdk1"	"Grk1"	"	"	"Tmem178b"	"Galntl6"
